,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
355,bend,44.0582,-121.3153,40.28,82,0,6.91,US,1652036249
356,bruchsal,49.1281,8.5836,66.81,72,23,6.08,DE,1652036336
357,redcar,54.6166,-1.06,61.09,34,42,12.91,GB,1652036336
358,dali,25.7,100.1833,58.98,88,4,5.53,CN,1652036337
359,havre,49.5833,0.3333,62.35,72,0,9.22,FR,1652036337
360,luderitz,-26.6481,15.1594,60.12,56,55,13.6,NA,1652036217
361,sao joao da barra,-21.6403,-41.0511,78.89,71,57,14.56,BR,1652036338
362,bonavista,48.6499,-53.1147,35.11,67,6,12.28,CA,1652036339
363,tchollire,8.4022,14.1698,88.66,36,43,2.46,CM,1652036339
364,inta,66.0317,60.1659,45.73,78,97,13.56,RU,1652036340
365,vostok,46.4856,135.8833,31.28,91,76,5.7,RU,1652036340
366,iquique,-20.2208,-70.1431,68.04,72,4,9.17,CL,1652036341
367,banda aceh,5.5577,95.3222,80.24,81,100,7.07,ID,1652036342
